gene,rna_lfc,rna_p,prot_lfc,prot_p,mut_freq,neglog10p,concordant,transcriptomic,proteomic,genomic,score
CYTH4,-0.12464039115018721,0.546086406062622,0.3457471748227725,0.0008231016970327978,0.007142857142857143,0.11979865834643606,False,0.12464039115018721,0.3457471748227725,0.11979865834643606,0.4208135860979463
KRT8,0.5997619226556825,0.007531669375240595,-0.03878019375622799,0.49774094059648955,0.007142857142857143,0.11979865834643606,False,0.5997619226556825,0.03878019375622799,0.11979865834643606,0.42055028962611896
MRM2,0.16693629042382696,0.001345343578196337,0.27785610214698764,0.016805797674468947,0.007142857142857143,0.11979865834643606,True,0.16693629042382696,0.27785610214698764,0.11979865834643606,0.42055028962611896
GOLGB1,-0.07810950835702357,0.36198307890513004,-0.4488428901438226,5.156847052909262e-12,0.007142857142857143,0.11979865834643606,True,0.07810950835702357,0.4488428901438226,0.11979865834643606,0.42041864139020535
PDZD11,0.42043915703099266,8.654911185309203e-11,-0.08234202289800407,0.05468054026134088,0.007142857142857143,0.11979865834643606,False,0.42043915703099266,0.08234202289800407,0.11979865834643606,0.42041864139020535
UBXN7,-0.1356912421967067,0.04296557090957446,-0.3264256699415746,1.6950038285554322e-12,0.007142857142857143,0.11979865834643606,True,0.1356912421967067,0.3264256699415746,0.11979865834643606,0.4198920484465508
SPPL2B,-0.43034102110208394,0.00101770405078361,0.07382344847566102,0.5077186934887434,0.007142857142857143,0.11979865834643606,False,0.43034102110208394,0.07382344847566102,0.11979865834643606,0.4197604002106371
EVC,-0.3707140518406238,0.00126026411388096,0.0996049000689645,0.36491810839972266,0.007142857142857143,0.11979865834643606,False,0.3707140518406238,0.0996049000689645,0.11979865834643606,0.4196287519747235
TATDN1,0.007249630532419005,0.9350586429609736,-0.6718703960602745,1.875408960483057e-11,0.007142857142857143,0.11979865834643606,False,0.007249630532419005,0.6718703960602745,0.11979865834643606,0.4193654555028963
EIF2B5,0.13673357825582322,0.0004857365705982608,-0.32410164093915483,1.583131238181884e-09,0.007142857142857143,0.11979865834643606,False,0.13673357825582322,0.32410164093915483,0.11979865834643606,0.41936545550289617
FBXL2,0.1358935397477179,0.06171394355598644,-0.3245792516588164,0.1612753915650465,0.007142857142857143,0.11979865834643606,False,0.1358935397477179,0.3245792516588164,0.11979865834643606,0.41910215903106895
GATA6,-0.5207478610198493,0.0004432401828227248,0.05096763844936447,0.6738733975887714,0.007142857142857143,0.11979865834643606,False,0.5207478610198493,0.05096763844936447,0.11979865834643606,0.41910215903106895
LAMA5,0.16068609032033976,0.25800387512397804,-0.28547311239765705,3.166854494031218e-08,0.007142857142857143,0.11979865834643606,False,0.16068609032033976,0.28547311239765705,0.11979865834643606,0.41883886255924163
FMNL1,-0.0003156544424705032,0.9983616725705742,0.7004569683997417,2.190846337077442e-16,0.007142857142857143,0.11979865834643606,False,0.0003156544424705032,0.7004569683997417,0.11979865834643606,0.4185755660874144
LYAR,0.6595385817276274,2.1058976416346304e-07,-0.026627128715581705,0.5608693660668993,0.007142857142857143,0.11979865834643606,False,0.6595385817276274,0.026627128715581705,0.11979865834643606,0.4184439178515008
LILRB4,0.36199577630220503,0.0977005821721238,0.10272528512275514,0.6560125330384922,0.007142857142857143,0.11979865834643606,True,0.36199577630220503,0.10272528512275514,0.11979865834643606,0.41804897314375977
